frame,time,hitIndex,pointIndex,vertIndex,hitX,hitY,hitZ,normalX,normalY,normalZ
155,1.2856,0,28303,-1,0.39788,0.32142,0.28729,-0.08488,0.85688,-0.50848
155,1.2856,1,28305,-1,0.39708,0.32199,0.28878,-0.11731,0.88456,-0.45144
155,1.2856,2,28306,-1,0.39710,0.32198,0.28942,-0.11802,0.89482,-0.43054
155,1.2856,3,28307,-1,0.39712,0.32197,0.29007,-0.11869,0.90483,-0.40890
155,1.2856,4,28308,-1,0.39713,0.32197,0.29072,-0.11930,0.91453,-0.38653
155,1.2856,5,28309,-1,0.39632,0.32254,0.29157,-0.15100,0.92589,-0.34631
155,1.2856,6,28310,-1,0.39634,0.32254,0.29222,-0.15172,0.93426,-0.32271
155,1.2856,7,27427,-1,0.39598,0.31965,0.28539,-0.16217,0.79177,-0.58890
155,1.2856,8,27428,-1,0.39599,0.31964,0.28603,-0.16402,0.80386,-0.57175
155,1.2856,9,27429,-1,0.39601,0.31963,0.28667,-0.16586,0.81596,-0.55380
155,1.2856,10,27430,-1,0.39603,0.31963,0.28732,-0.16766,0.82803,-0.53503
155,1.2856,11,27431,-1,0.39521,0.32020,0.28816,-0.20044,0.84522,-0.49541
155,1.2856,12,27432,-1,0.39523,0.32019,0.28881,-0.20248,0.85648,-0.47480
155,1.2856,13,27433,-1,0.39524,0.32018,0.28945,-0.20445,0.86756,-0.45336
155,1.2856,14,27434,-1,0.39526,0.32018,0.29010,-0.20634,0.87841,-0.43107
155,1.2856,15,27435,-1,0.39528,0.32017,0.29074,-0.20816,0.88896,-0.40795
156,1.2945,0,25476,-1,0.38912,0.31911,0.30923,-0.45612,0.80131,0.38712
156,1.2945,1,25477,-1,0.38914,0.31911,0.30989,-0.45075,0.79280,0.41024
156,1.2945,2,28339,-1,0.39505,0.31875,0.28540,-0.20393,0.77247,-0.60142
156,1.2945,3,28340,-1,0.39507,0.31875,0.28604,-0.20657,0.78481,-0.58429
156,1.2945,4,28341,-1,0.39425,0.31932,0.28688,-0.23923,0.80325,-0.54549
156,1.2945,5,28342,-1,0.39426,0.31931,0.28753,-0.24211,0.81502,-0.52643
156,1.2945,6,28343,-1,0.39428,0.31930,0.28817,-0.24496,0.82671,-0.50651
156,1.2945,7,28344,-1,0.39430,0.31929,0.28882,-0.24774,0.83827,-0.48573
156,1.2945,8,28345,-1,0.39431,0.31929,0.28947,-0.25046,0.84966,-0.46406
156,1.2945,9,28346,-1,0.39433,0.31928,0.29011,-0.25310,0.86082,-0.44150
156,1.2945,10,28347,-1,0.39435,0.31927,0.29076,-0.25564,0.87172,-0.41804
156,1.2945,11,28348,-1,0.39353,0.31984,0.29161,-0.28764,0.88213,-0.37298
156,1.2945,12,28349,-1,0.39355,0.31983,0.29226,-0.29005,0.89150,-0.34798
156,1.2945,13,28282,-1,0.39577,0.32454,0.29848,-0.16940,0.98365,-0.06108
156,1.2945,14,28283,-1,0.39579,0.32454,0.29913,-0.16900,0.98499,-0.03505
156,1.2945,15,31223,-1,0.38818,0.31821,0.30925,-0.50091,0.77165,0.39198
157,1.3008,0,27440,-1,0.38997,0.31532,0.28307,-0.40233,0.61421,-0.67887
157,1.3008,1,27442,-1,0.38915,0.31587,0.28455,-0.43981,0.64350,-0.62648
157,1.3008,2,27443,-1,0.38917,0.31586,0.28520,-0.44660,0.65415,-0.61044
157,1.3008,3,27444,-1,0.38834,0.31642,0.28604,-0.47576,0.67009,-0.56977
157,1.3008,4,27445,-1,0.38836,0.31641,0.28669,-0.48250,0.68026,-0.55176
157,1.3008,5,27446,-1,0.38838,0.31641,0.28734,-0.48920,0.69041,-0.53292
157,1.3008,6,26362,-1,0.39598,0.31965,0.28539,-0.16217,0.79177,-0.58890
157,1.3008,7,26363,-1,0.39599,0.31964,0.28603,-0.16402,0.80386,-0.57175
157,1.3008,8,26364,-1,0.39601,0.31963,0.28667,-0.16586,0.81596,-0.55380
157,1.3008,9,26365,-1,0.39603,0.31963,0.28732,-0.16766,0.82803,-0.53503
157,1.3008,10,26366,-1,0.39521,0.32020,0.28816,-0.20044,0.84522,-0.49541
157,1.3008,11,26367,-1,0.39523,0.32019,0.28881,-0.20248,0.85648,-0.47480
157,1.3008,12,24766,-1,0.39452,0.32312,0.30436,-0.22678,0.95711,0.18030
157,1.3008,13,27811,-1,0.39788,0.32142,0.28729,-0.08488,0.85688,-0.50848
157,1.3008,14,27813,-1,0.39708,0.32199,0.28878,-0.11731,0.88456,-0.45144
157,1.3008,15,27814,-1,0.39710,0.32198,0.28942,-0.11802,0.89482,-0.43054
158,1.3074,0,29474,-1,0.39505,0.31875,0.28540,-0.20393,0.77247,-0.60142
158,1.3074,1,29475,-1,0.39507,0.31875,0.28604,-0.20657,0.78481,-0.58429
158,1.3074,2,29476,-1,0.39425,0.31932,0.28688,-0.23923,0.80325,-0.54549
158,1.3074,3,29477,-1,0.39426,0.31931,0.28753,-0.24211,0.81502,-0.52643
158,1.3074,4,29478,-1,0.39428,0.31930,0.28817,-0.24496,0.82671,-0.50651
158,1.3074,5,29479,-1,0.39430,0.31929,0.28882,-0.24774,0.83827,-0.48573
158,1.3074,6,29480,-1,0.39431,0.31929,0.28947,-0.25046,0.84966,-0.46406
158,1.3074,7,29481,-1,0.39433,0.31928,0.29011,-0.25310,0.86082,-0.44150
158,1.3074,8,29482,-1,0.39435,0.31927,0.29076,-0.25564,0.87172,-0.41804
158,1.3074,9,29483,-1,0.39353,0.31984,0.29161,-0.28764,0.88213,-0.37298
158,1.3074,10,29484,-1,0.39355,0.31983,0.29226,-0.29005,0.89150,-0.34798
158,1.3074,11,29599,-1,0.39370,0.31977,0.29809,-0.30241,0.94874,-0.09187
158,1.3074,12,35686,-1,0.39550,0.31921,0.28475,-0.18063,0.77027,-0.61160
158,1.3074,13,35687,-1,0.39551,0.31920,0.28539,-0.18287,0.78245,-0.59526
158,1.3074,14,35688,-1,0.39553,0.31919,0.28604,-0.18511,0.79468,-0.57812
158,1.3074,15,35689,-1,0.39555,0.31919,0.28668,-0.18733,0.80693,-0.56016
159,1.3141,0,11038,-1,0.39757,0.32243,0.28942,-0.09771,0.90006,-0.42467
159,1.3141,1,11039,-1,0.39758,0.32242,0.29006,-0.09812,0.90983,-0.40321
159,1.3141,2,29629,-1,0.39777,0.32387,0.29349,-0.08973,0.96087,-0.26206
159,1.3141,3,29688,-1,0.39277,0.31887,0.29810,-0.35634,0.92965,-0.09362
159,1.3141,4,29689,-1,0.39195,0.31944,0.29897,-0.38232,0.92274,-0.04877
159,1.3141,5,26208,-1,0.39593,0.32206,0.29417,-0.17576,0.95172,-0.25168
159,1.3141,6,26209,-1,0.39594,0.32206,0.29481,-0.17628,0.95820,-0.22535
159,1.3141,7,26210,-1,0.39513,0.32263,0.29568,-0.20678,0.96101,-0.18356
159,1.3141,8,26211,-1,0.39515,0.32263,0.29633,-0.20713,0.96567,-0.15680
159,1.3141,9,26212,-1,0.39516,0.32262,0.29698,-0.20732,0.96964,-0.12967
159,1.3141,10,26213,-1,0.39518,0.32261,0.29762,-0.20736,0.97291,-0.10221
159,1.3141,11,26214,-1,0.39520,0.32260,0.29827,-0.20724,0.97545,-0.07449
159,1.3141,12,26215,-1,0.39521,0.32260,0.29892,-0.20695,0.97724,-0.04658
159,1.3141,13,26216,-1,0.39440,0.32317,0.29980,-0.23478,0.97201,-0.00842
159,1.3141,14,26217,-1,0.39442,0.32316,0.30045,-0.23415,0.97202,0.01889
159,1.3141,15,26218,-1,0.39444,0.32316,0.30110,-0.23334,0.97130,0.04618
160,1.3799,0,35337,-1,0.39505,0.31875,0.28540,-0.20393,0.77247,-0.60142
160,1.3799,1,35338,-1,0.39507,0.31875,0.28604,-0.20657,0.78481,-0.58429
160,1.3799,2,35339,-1,0.39425,0.31932,0.28688,-0.23923,0.80325,-0.54549
160,1.3799,3,35340,-1,0.39426,0.31931,0.28753,-0.24211,0.81502,-0.52643
160,1.3799,4,35341,-1,0.39428,0.31930,0.28817,-0.24496,0.82671,-0.50651
160,1.3799,5,35342,-1,0.39430,0.31929,0.28882,-0.24774,0.83827,-0.48573
160,1.3799,6,35343,-1,0.39431,0.31929,0.28947,-0.25046,0.84966,-0.46406
160,1.3799,7,35344,-1,0.39433,0.31928,0.29011,-0.25310,0.86082,-0.44150
160,1.3799,8,35345,-1,0.39435,0.31927,0.29076,-0.25564,0.87172,-0.41804
160,1.3799,9,35346,-1,0.39353,0.31984,0.29161,-0.28764,0.88213,-0.37298
160,1.3799,10,35347,-1,0.39355,0.31983,0.29226,-0.29005,0.89150,-0.34798
160,1.3799,11,35348,-1,0.39273,0.31888,0.29680,-0.35473,0.92186,-0.15599
160,1.3799,12,35349,-1,0.39275,0.31888,0.29745,-0.35571,0.92620,-0.12501
160,1.3799,13,11104,-1,0.39757,0.32243,0.28942,-0.09771,0.90006,-0.42467
160,1.3799,14,11105,-1,0.39758,0.32242,0.29006,-0.09812,0.90983,-0.40321
160,1.3799,15,11106,-1,0.39677,0.32300,0.29091,-0.12942,0.92223,-0.36433
161,1.3879,0,27818,-1,0.39777,0.32387,0.29349,-0.08973,0.96087,-0.26206
161,1.3879,1,27822,-1,0.39701,0.32443,0.29630,-0.11996,0.98157,-0.14874
161,1.3879,2,27823,-1,0.39703,0.32442,0.29695,-0.11975,0.98514,-0.12314
161,1.3879,3,27648,-1,0.39178,0.32038,0.30700,-0.35641,0.88361,0.30364
161,1.3879,4,27649,-1,0.39180,0.32037,0.30765,-0.35271,0.87595,0.32911
161,1.3879,5,27650,-1,0.39098,0.32094,0.30855,-0.37045,0.85987,0.35127
161,1.3879,6,11018,-1,0.39757,0.32243,0.28942,-0.09771,0.90006,-0.42467
161,1.3879,7,11019,-1,0.39758,0.32242,0.29006,-0.09812,0.90983,-0.40321
161,1.3879,8,11020,-1,0.39677,0.32300,0.29091,-0.12942,0.92223,-0.36433
161,1.3879,9,11021,-1,0.39679,0.32299,0.29156,-0.12998,0.93081,-0.34162
161,1.3879,10,34112,-1,0.39411,0.32024,0.29614,-0.27467,0.94448,-0.18030
161,1.3879,11,34113,-1,0.39413,0.32023,0.29678,-0.27541,0.94941,-0.15092
161,1.3879,12,34114,-1,0.39415,0.32023,0.29743,-0.27590,0.95353,-0.12110
161,1.3879,13,34115,-1,0.39416,0.32022,0.29808,-0.27616,0.95680,-0.09092
161,1.3879,14,34116,-1,0.39418,0.32021,0.29873,-0.27615,0.95921,-0.06046
161,1.3879,15,34117,-1,0.39336,0.32078,0.29960,-0.30410,0.95246,-0.01830
162,1.3959,0,25913,-1,0.39016,0.30040,0.27741,-0.39925,0.01636,-0.91669
162,1.3959,1,25914,-1,0.39018,0.30040,0.27804,-0.40821,0.01646,-0.91274
162,1.3959,2,25915,-1,0.39019,0.30039,0.27866,-0.41756,0.01657,-0.90850
162,1.3959,3,25916,-1,0.38934,0.30093,0.27947,-0.46052,0.03996,-0.88675
162,1.3959,4,25917,-1,0.38936,0.30092,0.28010,-0.47129,0.04065,-0.88104
162,1.3959,5,25918,-1,0.38937,0.30091,0.28073,-0.48253,0.04136,-0.87490
162,1.3959,6,25919,-1,0.38939,0.30090,0.28136,-0.49428,0.04211,-0.86828
162,1.3959,7,25497,-1,0.39096,0.30729,0.30047,-0.77790,0.62711,0.04010
162,1.3959,8,25498,-1,0.39097,0.30728,0.30110,-0.77477,0.62513,0.09457
162,1.3959,9,25499,-1,0.39099,0.30728,0.30174,-0.76938,0.62132,0.14836
162,1.3959,10,25500,-1,0.39101,0.30727,0.30237,-0.76185,0.61577,0.20102
162,1.3959,11,25501,-1,0.39102,0.30726,0.30301,-0.75234,0.60861,0.25215
162,1.3959,12,25502,-1,0.39104,0.30726,0.30364,-0.74106,0.60000,0.30140
162,1.3959,13,25503,-1,0.39020,0.30780,0.30452,-0.73587,0.58576,0.33968
162,1.3959,14,34096,-1,0.39100,0.32093,0.30921,-0.36638,0.85172,0.37462
162,1.3959,15,34097,-1,0.39101,0.32092,0.30986,-0.36216,0.84320,0.39730
163,1.4034,0,18775,-1,0.39421,0.30146,0.27952,-0.27138,0.06840,-0.96004
163,1.4034,1,18776,-1,0.39423,0.30145,0.28014,-0.27849,0.07005,-0.95788
163,1.4034,2,18777,-1,0.39424,0.30145,0.28077,-0.28602,0.07180,-0.95553
163,1.4034,3,18778,-1,0.39426,0.30144,0.28139,-0.29398,0.07365,-0.95297
163,1.4034,4,18779,-1,0.39428,0.30143,0.28202,-0.30243,0.07562,-0.95017
163,1.4034,5,18780,-1,0.39343,0.30197,0.28283,-0.35546,0.10670,-0.92858
163,1.4034,6,18781,-1,0.39344,0.30197,0.28346,-0.36618,0.10980,-0.92404
163,1.4034,7,18782,-1,0.39346,0.30196,0.28408,-0.37758,0.11310,-0.91905
163,1.4034,8,18783,-1,0.39348,0.30195,0.28471,-0.38969,0.11660,-0.91353
163,1.4034,9,22976,-1,0.39005,0.29982,0.29059,-0.72636,-0.01314,-0.68719
163,1.4034,10,22977,-1,0.39007,0.29981,0.29122,-0.74898,-0.01410,-0.66245
